Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2024 00:00,Norway,Norway,NO,13.89,39.15,97.24,95.64,entsoe.eu
01/02/2024 00:00,Norway,Norway,NO,11.03,35.89,97.68,95.72,entsoe.eu
01/03/2024 00:00,Norway,Norway,NO,9.9,35.11,97.87,95.92,entsoe.eu
01/04/2024 00:00,Norway,Norway,NO,8.11,32.89,98.22,96.79,entsoe.eu
01/05/2024 00:00,Norway,Norway,NO,8.36,33.53,98.1,96.78,entsoe.eu
01/06/2024 00:00,Norway,Norway,NO,9.26,34.21,97.97,96.56,entsoe.eu
01/07/2024 00:00,Norway,Norway,NO,9.06,34.28,97.98,96.78,entsoe.eu
01/08/2024 00:00,Norway,Norway,NO,7.66,31.51,98.23,96.14,entsoe.eu
01/09/2024 00:00,Norway,Norway,NO,7.54,31.53,98.28,96.92,entsoe.eu
01/10/2024 00:00,Norway,Norway,NO,6.58,30.1,98.47,96.32,entsoe.eu
01/11/2024 00:00,Norway,Norway,NO,6.17,29.99,98.65,97.06,entsoe.eu
01/12/2024 00:00,Norway,Norway,NO,5.64,29.07,98.76,97.21,entsoe.eu
