Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Germany,Germany,DE,367.08,423.27,59.14,54.00,entsoe.eu
2023-02-01 00:00:00,Germany,Germany,DE,402.61,465.77,52.94,47.83,entsoe.eu
2023-03-01 00:00:00,Germany,Germany,DE,326.87,385.03,61.55,55.77,entsoe.eu
2023-04-01 00:00:00,Germany,Germany,DE,320.50,379.84,63.14,58.95,entsoe.eu; Electricity Maps Estimation
2023-05-01 00:00:00,Germany,Germany,DE,248.86,307.70,69.95,66.42,entsoe.eu
2023-06-01 00:00:00,Germany,Germany,DE,270.48,331.66,66.30,62.09,entsoe.eu
2023-07-01 00:00:00,Germany,Germany,DE,225.50,283.71,71.31,66.91,entsoe.eu; Electricity Maps Estimation
2023-08-01 00:00:00,Germany,Germany,DE,283.91,345.89,64.85,59.68,entsoe.eu
2023-09-01 00:00:00,Germany,Germany,DE,316.14,377.63,62.74,57.57,entsoe.eu
2023-10-01 00:00:00,Germany,Germany,DE,306.66,363.28,64.26,60.77,entsoe.eu
2023-11-01 00:00:00,Germany,Germany,DE,333.42,390.55,60.39,57.45,entsoe.eu
2023-12-01 00:00:00,Germany,Germany,DE,325.09,381.67,60.77,57.95,entsoe.eu
