Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2021 00:00,Slovakia,Slovakia,SK,273.2,317.51,62.28,16.36,entsoe.eu
01/02/2021 00:00,Slovakia,Slovakia,SK,232.23,274.02,66.43,20.7,entsoe.eu
01/03/2021 00:00,Slovakia,Slovakia,SK,265.35,309.32,62.71,19.44,Electricity Maps Estimation; entsoe.eu
01/04/2021 00:00,Slovakia,Slovakia,SK,306.72,353.6,59.74,20.64,entsoe.eu
01/05/2021 00:00,Slovakia,Slovakia,SK,178.79,213.31,75.68,27.65,Electricity Maps Estimation; entsoe.eu
01/06/2021 00:00,Slovakia,Slovakia,SK,245.49,286.87,66.53,21.86,entsoe.eu
01/07/2021 00:00,Slovakia,Slovakia,SK,287.17,328.16,64.38,20.1,entsoe.eu
01/08/2021 00:00,Slovakia,Slovakia,SK,262.84,299.98,68.59,20.86,entsoe.eu
01/09/2021 00:00,Slovakia,Slovakia,SK,330.32,372.18,60.32,17.69,entsoe.eu
01/10/2021 00:00,Slovakia,Slovakia,SK,366.43,408.47,57.77,16.32,Electricity Maps Estimation; entsoe.eu
01/11/2021 00:00,Slovakia,Slovakia,SK,369.94,413.44,55.51,12.78,entsoe.eu
01/12/2021 00:00,Slovakia,Slovakia,SK,345.36,387.97,58.07,13.93,entsoe.eu
