Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Canada,Québec,CA-QC,0.16,27.55,99.96,99.72,Electricity Maps Estimation; hydroquebec.com
2023-02-01 00:00:00,Canada,Québec,CA-QC,0.92,28.01,99.79,99.39,Electricity Maps Estimation; hydroquebec.com
2023-03-01 00:00:00,Canada,Québec,CA-QC,0.08,27.25,99.98,99.93,hydroquebec.com
2023-04-01 00:00:00,Canada,Québec,CA-QC,0.17,28.71,99.96,99.43,Electricity Maps Estimation; hydroquebec.com
2023-05-01 00:00:00,Canada,Québec,CA-QC,0.17,29.54,99.96,99.16,Electricity Maps Estimation; hydroquebec.com
2023-06-01 00:00:00,Canada,Québec,CA-QC,1.13,31.00,99.71,99.05,Electricity Maps Estimation; hydroquebec.com
2023-07-01 00:00:00,Canada,Québec,CA-QC,1.99,32.64,99.49,98.48,hydroquebec.com
2023-08-01 00:00:00,Canada,Québec,CA-QC,1.71,32.01,99.57,98.57,hydroquebec.com
2023-09-01 00:00:00,Canada,Québec,CA-QC,1.36,31.26,99.65,98.67,hydroquebec.com
2023-10-01 00:00:00,Canada,Québec,CA-QC,1.17,30.51,99.70,98.23,Electricity Maps Estimation; hydroquebec.com
2023-11-01 00:00:00,Canada,Québec,CA-QC,3.42,32.14,99.12,96.99,Electricity Maps Estimation; hydroquebec.com
2023-12-01 00:00:00,Canada,Québec,CA-QC,7.27,36.80,98.20,95.44,Electricity Maps Estimation; hydroquebec.com
