Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2024 00:00,Mexico,Mexico,MX,301.1,397.06,21.2,17.45,cenace.gob.mx
01/02/2024 00:00,Mexico,Mexico,MX,294.64,389.86,22.52,18.18,cenace.gob.mx
01/03/2024 00:00,Mexico,Mexico,MX,297.42,394.2,21.17,17.87,cenace.gob.mx
01/04/2024 00:00,Mexico,Mexico,MX,297.82,393.98,21.56,19.5,cenace.gob.mx
01/05/2024 00:00,Mexico,Mexico,MX,305.57,402.02,20.58,17.96,cenace.gob.mx
01/06/2024 00:00,Mexico,Mexico,MX,306.01,403.21,19.75,16.38,cenace.gob.mx
01/07/2024 00:00,Mexico,Mexico,MX,304.02,400.97,19.99,17.16,cenace.gob.mx
01/08/2024 00:00,Mexico,Mexico,MX,292.55,387.03,22.88,19.6,cenace.gob.mx
01/09/2024 00:00,Mexico,Mexico,MX,286.66,380.89,23.87,20.44,cenace.gob.mx
01/10/2024 00:00,Mexico,Mexico,MX,285.16,378.37,24.85,21.06,cenace.gob.mx
01/11/2024 00:00,Mexico,Mexico,MX,287.94,381.06,24.7,20.58,cenace.gob.mx
01/12/2024 00:00,Mexico,Mexico,MX,294.09,388.29,23.63,19.09,cenace.gob.mx
