Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2024-01-01 00:00:00,Brazil,Brazil,BR,44.29,76.62,92.30,89.80,
2024-02-01 00:00:00,Brazil,Brazil,BR,33.91,64.11,94.10,91.70,
2024-03-01 00:00:00,Brazil,Brazil,BR,31.44,61.57,94.53,92.24,
2024-04-01 00:00:00,Brazil,Brazil,BR,34.75,65.21,93.96,91.44,
2024-05-01 00:00:00,Brazil,Brazil,BR,46.06,77.84,91.99,89.80,
2024-06-01 00:00:00,Brazil,Brazil,BR,53.94,86.66,90.62,87.91,
2024-07-01 00:00:00,Brazil,Brazil,BR,65.19,99.75,88.66,85.95,
2024-08-01 00:00:00,Brazil,Brazil,BR,72.95,108.99,87.31,84.67,
2024-09-01 00:00:00,Brazil,Brazil,BR,90.21,129.48,84.31,81.81,
2024-10-01 00:00:00,Brazil,Brazil,BR,96.68,137.66,83.19,80.71,
2024-11-01 00:00:00,Brazil,Brazil,BR,66.88,102.88,88.37,87.17,
2024-12-01 00:00:00,Brazil,Brazil,BR,53.64,87.55,90.67,89.38,
