Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,Canada,Québec,CA-QC,0.41,28.41,99.93,99.90,Electricity Maps Estimation
2021-02-01 00:00:00,Canada,Québec,CA-QC,0.43,28.43,99.93,99.90,Electricity Maps Estimation
2021-03-01 00:00:00,Canada,Québec,CA-QC,0.43,28.43,99.93,99.90,Electricity Maps Estimation
2021-04-01 00:00:00,Canada,Québec,CA-QC,0.43,28.36,99.92,99.62,Electricity Maps Estimation
2021-05-01 00:00:00,Canada,Québec,CA-QC,0.43,28.33,99.92,99.47,Electricity Maps Estimation
2021-06-01 00:00:00,Canada,Québec,CA-QC,0.46,28.38,99.92,99.55,Electricity Maps Estimation
2021-07-01 00:00:00,Canada,Québec,CA-QC,1.20,29.07,99.79,99.64,hydroquebec.com; Electricity Maps Estimation
2021-08-01 00:00:00,Canada,Québec,CA-QC,1.32,29.64,99.77,99.67,hydroquebec.com; Electricity Maps Estimation
2021-09-01 00:00:00,Canada,Québec,CA-QC,0.03,28.80,99.99,99.60,hydroquebec.com; Electricity Maps Estimation
2021-10-01 00:00:00,Canada,Québec,CA-QC,0.02,28.64,99.99,99.80,hydroquebec.com; Electricity Maps Estimation
2021-11-01 00:00:00,Canada,Québec,CA-QC,0.05,27.67,99.99,99.84,hydroquebec.com; Electricity Maps Estimation
2021-12-01 00:00:00,Canada,Québec,CA-QC,0.20,27.29,99.95,99.54,hydroquebec.com; Electricity Maps Estimation
