Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2023 00:00,Malaysia,Malaysia,MY,459.33,534.55,21.58,21.58,
01/02/2023 00:00,Malaysia,Malaysia,MY,472.78,547.88,20.34,20.34,
01/03/2023 00:00,Malaysia,Malaysia,MY,479.31,556.19,18.5,18.5,
01/04/2023 00:00,Malaysia,Malaysia,MY,506.22,581.97,16.45,16.45,
01/05/2023 00:00,Malaysia,Malaysia,MY,511.77,586.35,16.84,16.84,
01/06/2023 00:00,Malaysia,Malaysia,MY,509.23,584.81,16.12,16.12,
01/07/2023 00:00,Malaysia,Malaysia,MY,500.51,576.17,17.03,17.03,
01/08/2023 00:00,Malaysia,Malaysia,MY,505.5,580.51,16.93,16.93,
01/09/2023 00:00,Malaysia,Malaysia,MY,497.09,573.57,17.33,17.33,
01/10/2023 00:00,Malaysia,Malaysia,MY,488.12,564.96,17.55,17.55,
01/11/2023 00:00,Malaysia,Malaysia,MY,491.65,568.53,16.99,16.99,
01/12/2023 00:00,Malaysia,Malaysia,MY,478.59,552.31,20.44,20.44,
