Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2021-02-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2021-03-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2021-04-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2021-05-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2021-06-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2021-07-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2021-08-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2021-09-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2021-10-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2021-11-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2021-12-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
