Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2021 00:00,Switzerland,Switzerland,CH,100.49,133.44,87.33,54.61,Electricity Maps Estimation
01/02/2021 00:00,Switzerland,Switzerland,CH,67.87,97.51,90.65,54.38,Electricity Maps Estimation
01/03/2021 00:00,Switzerland,Switzerland,CH,68.28,98.72,90.76,53.57,Electricity Maps Estimation
01/04/2021 00:00,Switzerland,Switzerland,CH,68.35,98.91,91.17,53.24,Electricity Maps Estimation
01/05/2021 00:00,Switzerland,Switzerland,CH,28.36,54.51,96.13,65.67,Electricity Maps Estimation
01/06/2021 00:00,Switzerland,Switzerland,CH,27.27,54.83,96.53,81.5,Electricity Maps Estimation
01/07/2021 00:00,Switzerland,Switzerland,CH,27.29,53.81,96.62,73.92,Electricity Maps Estimation
01/08/2021 00:00,Switzerland,Switzerland,CH,31.4,57.66,96.39,74.74,Electricity Maps Estimation
01/09/2021 00:00,Switzerland,Switzerland,CH,93.63,125.77,89.68,62.13,Electricity Maps Estimation
01/10/2021 00:00,Switzerland,Switzerland,CH,108.45,141.77,87.87,55,Electricity Maps Estimation
01/11/2021 00:00,Switzerland,Switzerland,CH,146.78,185.58,82.5,56.68,Electricity Maps Estimation
01/12/2021 00:00,Switzerland,Switzerland,CH,117.03,151.89,85.44,51.71,Electricity Maps Estimation
