Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2024-01-01 00:00:00,Croatia,Croatia,HR,162.66,197.98,72.71,64.07,entsoe.eu
2024-02-01 00:00:00,Croatia,Croatia,HR,194.66,230.83,68.89,61.62,entsoe.eu
2024-03-01 00:00:00,Croatia,Croatia,HR,176.02,210.16,71.63,66.39,Electricity Maps Estimation; entsoe.eu
2024-04-01 00:00:00,Croatia,Croatia,HR,179.97,214.25,72.27,64.94,entsoe.eu
2024-05-01 00:00:00,Croatia,Croatia,HR,136.02,168.04,77.94,66.84,entsoe.eu
2024-06-01 00:00:00,Croatia,Croatia,HR,137.58,165.37,81.31,64.26,Electricity Maps Estimation; entsoe.eu
2024-07-01 00:00:00,Croatia,Croatia,HR,193.30,227.43,72.95,54.44,Electricity Maps Estimation; entsoe.eu
2024-08-01 00:00:00,Croatia,Croatia,HR,214.90,252.12,70.19,52.35,entsoe.eu
2024-09-01 00:00:00,Croatia,Croatia,HR,214.93,254.23,68.02,54.43,entsoe.eu
2024-10-01 00:00:00,Croatia,Croatia,HR,232.21,262.95,69.47,61.32,Electricity Maps Estimation; entsoe.eu
2024-11-01 00:00:00,Croatia,Croatia,HR,253.13,289.45,66.15,55.40,entsoe.eu
2024-12-01 00:00:00,Croatia,Croatia,HR,244.79,285.19,64.60,51.20,Electricity Maps Estimation; entsoe.eu
