Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2022 00:00,Russia,Siberia,RU-2,304.76,425.63,47.06,47.04,so-ups.ru
01/02/2022 00:00,Russia,Siberia,RU-2,316.1,438.6,45.21,45.17,so-ups.ru
01/03/2022 00:00,Russia,Siberia,RU-2,287.84,403.8,49.98,49.98,Electricity Maps Estimation; so-ups.ru
01/04/2022 00:00,Russia,Siberia,RU-2,289.66,406.92,49.62,49.62,Electricity Maps Estimation
01/05/2022 00:00,Russia,Siberia,RU-2,243.09,345.42,57.72,57.72,Electricity Maps Estimation; so-ups.ru
01/06/2022 00:00,Russia,Siberia,RU-2,234.66,334.28,59.19,59.19,so-ups.ru
01/07/2022 00:00,Russia,Siberia,RU-2,243.36,345.78,57.68,57.68,so-ups.ru
01/08/2022 00:00,Russia,Siberia,RU-2,266.2,372.24,53.91,53.85,so-ups.ru
01/09/2022 00:00,Russia,Siberia,RU-2,292.36,406.96,49.36,49.3,so-ups.ru
01/10/2022 00:00,Russia,Siberia,RU-2,307.07,426.67,46.78,46.72,so-ups.ru
01/11/2022 00:00,Russia,Siberia,RU-2,348.52,480,39.65,39.58,so-ups.ru
01/12/2022 00:00,Russia,Siberia,RU-2,354.91,489.17,38.5,38.46,so-ups.ru
