Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Austria,Austria,AT,212.92,251.10,70.59,62.85,Electricity Maps Estimation; entsoe.eu
2023-02-01 00:00:00,Austria,Austria,AT,217.48,261.39,68.06,62.07,entsoe.eu
2023-03-01 00:00:00,Austria,Austria,AT,160.06,195.03,77.02,70.92,entsoe.eu
2023-04-01 00:00:00,Austria,Austria,AT,118.08,146.67,82.72,78.75,entsoe.eu
2023-05-01 00:00:00,Austria,Austria,AT,49.39,65.27,94.04,92.38,entsoe.eu
2023-06-01 00:00:00,Austria,Austria,AT,57.64,71.84,95.14,91.15,entsoe.eu
2023-07-01 00:00:00,Austria,Austria,AT,87.96,107.30,90.91,85.68,entsoe.eu
2023-08-01 00:00:00,Austria,Austria,AT,80.50,94.34,93.26,88.61,entsoe.eu
2023-09-01 00:00:00,Austria,Austria,AT,120.45,144.02,86.11,79.75,entsoe.eu
2023-10-01 00:00:00,Austria,Austria,AT,173.58,204.63,78.86,70.11,Electricity Maps Estimation; entsoe.eu
2023-11-01 00:00:00,Austria,Austria,AT,129.00,158.28,80.97,76.33,Electricity Maps Estimation; entsoe.eu
2023-12-01 00:00:00,Austria,Austria,AT,144.12,176.63,77.93,73.50,Electricity Maps Estimation; entsoe.eu
