,date,variable,generation_twh
China,01/03/2016,Fossil,362.48
China,01/03/2016,Gas,13.94
China,01/03/2016,Hydro,73.48
China,01/03/2016,Nuclear,17.39
China,01/03/2016,Other Fossil,1.78
China,01/03/2016,Solar,5.8
China,01/03/2016,Wind,21.31
China,01/03/2016,Wind and solar,27.11
China,01/04/2016,Bioenergy,4.79
China,01/04/2016,Clean,127.86
China,01/04/2016,Coal,314.16
China,01/04/2016,Fossil,328.4
China,01/04/2016,Gas,12.63
China,01/04/2016,Hydro,78.58
China,01/04/2016,Nuclear,15.01
China,01/04/2016,Other Fossil,1.61
China,01/04/2016,Solar,5.95
China,01/04/2016,Wind,23.53
China,01/04/2016,Wind and solar,29.48
China,01/05/2016,Bioenergy,4.8
China,01/05/2016,Clean,145.95
China,01/05/2016,Coal,314.53
China,01/05/2016,Fossil,328.79
China,01/05/2016,Gas,12.64
China,01/05/2016,Hydro,94.14
China,01/05/2016,Nuclear,16.44
China,01/05/2016,Other Fossil,1.62
China,01/05/2016,Solar,5.95
China,01/05/2016,Wind,24.62
China,01/05/2016,Wind and solar,30.57
China,01/06/2016,Bioenergy,5.02
China,01/06/2016,Clean,153.89
China,01/06/2016,Coal,329.05
China,01/06/2016,Fossil,343.97
China,01/06/2016,Gas,13.23
China,01/06/2016,Hydro,106.45
China,01/06/2016,Nuclear,17.95
China,01/06/2016,Other Fossil,1.69
China,01/06/2016,Solar,5.7
China,01/06/2016,Wind,18.77
China,01/06/2016,Wind and solar,24.47
China,01/07/2016,Bioenergy,5.64
China,01/07/2016,Clean,173.12
China,01/07/2016,Coal,369.84
China,01/07/2016,Fossil,386.6
China,01/07/2016,Gas,14.86
China,01/07/2016,Hydro,124.39
China,01/07/2016,Nuclear,19.81
China,01/07/2016,Other Fossil,1.9
China,01/07/2016,Solar,5.96
China,01/07/2016,Wind,17.32
China,01/07/2016,Wind and solar,23.28
China,01/08/2016,Bioenergy,5.99
China,01/08/2016,Clean,159.26
China,01/08/2016,Coal,392.64
China,01/08/2016,Fossil,410.44
China,01/08/2016,Gas,15.78
China,01/08/2016,Hydro,111.23
China,01/08/2016,Nuclear,20.16
China,01/08/2016,Other Fossil,2.02
China,01/08/2016,Solar,6.17
China,01/08/2016,Wind,15.71
China,01/08/2016,Wind and solar,21.88
China,01/09/2016,Bioenergy,5.24
China,01/09/2016,Clean,139.47
China,01/09/2016,Coal,343.29
China,01/09/2016,Fossil,358.85
China,01/09/2016,Gas,13.8
China,01/09/2016,Hydro,94.59
China,01/09/2016,Nuclear,18
China,01/09/2016,Other Fossil,1.76
China,01/09/2016,Solar,5.93
China,01/09/2016,Wind,15.71
China,01/09/2016,Wind and solar,21.64
